ΕΞΣ/66051/Α4;Καμπύλες σωλήνος 110 μοίρες;εξαρτηματα-σωληνων-22.jpg; Για διάμετρο σωλήνα;22mm;;;;;;;;;;;;;;;
ΓΩΝ/SGSC-01/24;Γωνιοδείκτες πηδαλίου ;γωνιοδεικτης-πηδαλιου.jpg;Dc;24 v;;;;;;;;;;;;;;;
ΔΙΑΚ/1448605;Διακόπτης διπλός bavaria χωνευτός;διακοπτες-23.jpg;Dc;12v;Τρύπα;5.3cm;Διαστάσεις;6x6cm;;;;;;;;;;;
ΔΙΑΚ/1448601;Διακόπτης μονός bavaria χωνευτός;διακοπτες-22.jpg;Dc;12v;Τρύπα;5.3cm;Διαστάσεις;6x6cm;;;;;;;;;;;
ΔΙΑΚ/15420S-12;Διακόπτης τουαλέτας TMC;τουαλετες-σκαφων-3.jpg;Dc;12v;;;;;;;;;;;;;;;
ΧΡΟΝ/ΤΟΥΑΛ;Διακόπτης τουαλέτας TMC;τουαλετες-σκαφων-4-1.jpg;Dc;12v;;;;;;;;;;;;;;;
ΕΡΓ/711;Εργατης 1200 watt χωνευτός;εργατες-σκαφων-3.jpg;Dc;12 volt ή 24 volt;Μέγιστη έλξη;1200 κιλά;Αλυσίδα;10 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;35 cm;Ύψος κεφαλής;11 cm;;;;;
ΕΡΓ/711Τ;Εργατης 1200 watt χωνευτός με τύμπανο;εργατες-σκαφων-1.jpg;Dc;12 volt ή 24 volt;Μέγιστη έλξη;1200 κιλά;Αλυσίδα;10 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;35 cm;Ύψος κεφαλής;16.5 cm;;;;;
ΕΡΓ/811Τ;Εργατης 1600 watt χωνευτός με τὐμπανο;εργατες-σκαφων-1.jpg;Dc;12 volt ή 24 volt;Μέγιστη έλξη;1600 κιλά;Αλυσίδα;10 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;40 cm;Ύψος κεφαλής;18  cm;;;;;
ΕΡΓ/S612;Εργατης 600 watt εξωτερικός;εργατες-σκαφων-7.jpg;Dc;12 volt;Έλξη;560 κιλά;Αλυσίδα;6 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος;26 cm; Ύψος;14 cm;;;;;
ΕΡΓ/511;Εργατης 600 watt χωνευτός;εργατες-σκαφων-4.jpg;Dc;12 volt;Έλξη;560 κιλά;Αλυσίδα;6 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;26 cm;Ύψος κεφαλής;8.5 cm;;;;;
ΕΡΓ/511Τ;Εργατης 600 watt χωνευτός με τύμπανο;εργατες-σκαφων-6.jpg;Dc;12 volt;Έλξη;560 κιλά;Αλυσίδα;6 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;26 cm;Ύψος κεφαλής;11.5 cm;;;;;
ΕΡΓ/611;Εργατης 800 watt χωνευτός;εργατες-σκαφων-3.jpg;Dc;12 vol;Μέγιστη έλξη;700 κιλά;Αλυσίδα;8 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;32 cm;Ύψος κεφαλής;11 cm;;;;;
ΕΡΓ/611Τ;Εργατης 800 watt χωνευτός με τύμπανο;εργατες-σκαφων-1.jpg;Dc;12 volt;Μέγιστη έλξη;700 κιλά;Αλυσίδα;8 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;32 cm;Ύψος κεφαλής;16.5 cm;;;;;
ΕΡΓ/11000/12;Εργάτης T-max 11000 lbs;ew11000.jpg;Dc;12 v ή 24 v;Έλξη;4.985 kgs;Μήκος;54 cm;Φάρδος;16 cm;Ύψος;21.8 cm;Βάρος;38 kgs;;;;;
ΕΡΓ/12500/12;Εργάτης T-max 12500 lbs;εργατες-jeep-7.jpg;Dc;12 v ή 24 v;Έλξη;5.665 kgs;Μήκος;54 cm;Φάρδος;16 cm;Ύψος;21.8 cm;Βάρος;38 kgs;;;;;
ΕΡΓ/ΑΣ/15000/12;Εργάτης T-max 15000 lbs;εργατες-jeep-27.jpg;Dc;12 v ή 24 v;Έλξη;6.800 kgs;Μήκος;59.5 cm;Φάρδος;21 cm;Ύψος;26 cm;Βάρος;65 kgs;;;;;
ΕΡΓ/3500;Εργάτης T-max 3500 lbs;tmax-3500.jpg;Dc;12 v;Έλξη;1587 kgs;Μήκος;34.8 cm;Φάρδος;12 cm;Ύψος;12.8 cm;Βάρος;13 kgs;;;;;
ΕΡΓ/4500;Εργάτης T-max 4500 lbs;t-max-4500lbs.jpg;Dc;12 v;Έλξη;2.040 kgs;Μήκος;37 cm;Φάρδος;12 cm;Ύψος;18 cm;Βάρος;14.5 kgs;;;;;
ΕΡΓ/ΣΧ/4500;Εργάτης T-max 4500 lbs με σχοινί;εργατες-jeep-16.jpg;Dc;12 v;Έλξη;2.040 kgs;Μήκος;37.2 cm;Φάρδος;12.8 cm;Ύψος;18.1 cm;Βάρος;11.8 kgs;;;;;
ΕΡΓ/ΣΧ/6000;Εργάτης T-max 6000 lbs;εργατες-jeep-4.jpg;Dc;12 v;Έλξη;2.720 kgs;Μήκος;38 cm;Φάρδος;13 cm;Ύψος;18.5 cm;Βάρος;12.5 kgs;;;;;
ΕΡΓ/6500;Εργάτης T-max 6500 lbs;εργατες-jeep-3.jpg;Dc;12 v;Έλξη;2.950 kgs;Μήκος;47 cm;Φάρδος;16 cm;Ύψος;20.5 cm;Βάρος;30 kgs;;;;;
ΕΡΓ/8500;Εργάτης T-max 8500 lbs;εργατες-jeep-6.jpg;Dc;12 v;Έλξη;3.850 kgs;Μήκος;55 cm;Φάρδος;16 cm;Ύψος;20.5 cm;Βάρος;36 kgs;;;;;
ΕΡΓ/9500/12;Εργάτης T-max 9500 lbs;εργατες-jeep-6.jpg;Dc;12 v ή 24 v;Έλξη;4.305 kgs;Μήκος;53.7 cm;Φάρδος;16 cm;Ύψος;21.8 cm;Βάρος;38 kgs;;;;;
ΕΡΓ/XPOWER/12500;Εργάτης T-max Xpower 12500 lbs;εργατες-jeep-22.jpg;Dc;12 v;Έλξη;5.665 kgs;Μήκος;55 cm;Φάρδος;16 cm;Ύψος;20 cm;Βάρος;39 kgs;;;;;
ΕΡΓ/XPOWER/8500;Εργάτης T-max Xpower 8500 lbs;εργατες-jeep-21.jpg;Dc;12 v;Έλξη;3.850 kgs;Μήκος;53 cm;Φάρδος;16 cm;Ύψος;20 cm;Βάρος;35 kgs;;;;;
ΕΡΓ/XPOWER/9500;Εργάτης T-max Xpower 9500 lbs;εργατες-jeep-9.jpg;Dc;12 v;Έλξη;4.305 kgs;Μήκος;55 cm;Φάρδος;16 cm;Ύψος;20 cm;Βάρος;36 kgs;;;;;
ΕΡΓ/XPOWER/ΣΧ/9500;Εργάτης T-max Xpower 9500 lbs με σχοινί;εργατες-jeep-10.png;Dc;12 v;Έλξη;4.305 kgs;Μήκος;53 cm;Φάρδος;16 cm;Ύψος;20 cm;Βάρος;26 kgs;;;;;
ΕΡΓ/YD1600/12;Εργάτης εξωτερικός 1600 watt;εργατες-σκαφων-1-1.jpg;Dc;12 ή 24 volt;Αλυσίδα;10 ή 12  mm;Ισχύς;1600 watt;Μέγιστη έλξη;1400 κιλά;Μήκος;44 cm;Πλάτος Βάσης;17 cm;;;;;
ΓΕΦ/ΣΧ/9500;Εργάτης εξωτερικός 9500 lbs με σχοινί;εργατες-jeep-11.jpg;Dc;12 v;Έλξη;4.305 kgs;Μήκος;53.7 cm;Φάρδος;16 cm;Ύψος;25.4 cm;Βάρος;29.5 kgs;;;;;
ΕΡΓ/ΓΕΦ/10000;Εργάτης εξωτερικός Εwi-series 10.000 lbs;εργατες-jeep-25.jpg;Dc;12 v;Έλξη;4.523 kgs;Μήκος;53cm;Φάρδος;16 cm;Ύψος;25.4 cm;Βάρος;43 kgs;;;;;
ΕΡΓ/ΓΕΦ/12000;Εργάτης εξωτερικός Εwi-series 12.000 lbs;εργατες-jeep-13.jpg;Dc;12 v;Έλξη;5.440 kgs;Μήκος;54cm;Φάρδος;16 cm;Ύψος;25.4 cm;Βάρος;43 kgs;;;;;
ΦΛΑΠΣ/23Χ23;Ηλεκτρικά υδροπτερύγια 23x23 cm;ηλεκτρικα-φλαπς.jpg;Dc;12v;Διαστάσεις ανοξείδωτοθυ φλαπς;23x23 cm;;;;;;;;;;;;;
ΦΛΑΠΣ/31Χ31;Ηλεκτρικά υδροπτερύγια 31x31 cm;ηλεκτρικα-φλαπς.jpg;Dc;12v;Διαστάσεις ανοξείδωτοθυ φλαπς;31x31 cm;;;;;;;;;;;;;
ΜΗΧ/450;Ηλεκτρική μηχανή 50 lbs;ηλεκτρικη-μηχανη-1.jpg;Dc;12 volt;Ισχύς;50 lbs;Κατανάλωση;40Amp/H;Ταχύτητες;5 μπροστά/3 όπισθεν;Προτεινόμενη μπαταρία;60 Amp;;;;;;;
ΚΟΡ/5402;Κόρνες αέρος Marco εγκεκριμένες -20 μέτρα;κορνες-σκαφων-26.jpg;Dc;12v;Μήκος;45cm;;;;;;;;;;;;;
ΚΟΡ/5403;Κόρνες αέρος Marco εγκεκριμένες -20 μέτρα;κορνες-σκαφων-26.jpg;Dc;24v;Μήκος;45cm;;;;;;;;;;;;;
ΚΟΡ/5422;Κόρνες αέρος Marco εγκεκριμένες -75 μέτρα ;κορνες-σκαφων-30.jpg;Dc;12v;Μήκος;45cm;;;;;;;;;;;;;
ΚΟΡ/5423;Κόρνες αέρος Marco εγκεκριμένες -75 μέτρα ;κορνες-σκαφων-30.jpg;Dc;24v;Μήκος;45cm;;;;;;;;;;;;;
ΚΟΡ/4012;Κόρνες ηλεκτρικές Marco ;κορνες-σκαφων-20-1.jpg;Dc;12v;Μήκος;40cm;;;;;;;;;;;;;
ΚΟΡ/32293;Κόρνες ηλεκτρικές Marco ;κορνες-σκαφων-20-2.jpg;Dc;12v;Μήκος;40cm;;;;;;;;;;;;;
ΚΟΡ/8122;Κόρνα ηλεκτρική Shark Marco;κορνες-σκαφων-11.jpg;Dc;12v;Διαστάσεις;14x10cm;;;;;;;;;;;;;
ΚΟΡ/8012;Κόρνα ηλεκτρική Shark Marco;κορνες-σκαφων-12.jpg;Dc;12v;Διαστάσεις;14x10cm;;;;;;;;;;;;;
ΚΟΡ/15017;Κόρνα ηλεκτρική Taiwan ;κορνες-σκαφων-23.jpg;Dc;12v;Μήκος;22cm;;;;;;;;;;;;;
ΚΟΡ/15013-12;Κόρνες ηλεκτρικές Taiwan ;κορνες-σκαφων-14.jpg;Dc;12v;Μήκος;40cm;;;;;;;;;;;;;
ΚΟΡ/15013-24;Κόρνες ηλεκτρικές Taiwan ;κορνες-σκαφων-14.jpg;Dc;24v;Μήκος;40cm;;;;;;;;;;;;;
ΚΟΡ/15035-12;Κόρνα ηλεκτρική σαλιγκάρι;κορνες-σκαφων-1.jpg;Dc;12v;Διαστάσεις;7.6x5.1cm;;;;;;;;;;;;;
ΚΟΡ/32272;Κόρνα ηλεκτρική σαλιγκάρι Marco;κορνες-σκαφων-3.jpg;Dc;12v;Διαστάσεις;8x5.1cm;;;;;;;;;;;;;
ΚΟΡ/0614;Κόρνα ηλεκτρική σαλιγκάρι διπλή;κορνες-σκαφων-2.jpg;Dc;12v;Διαστάσεις;20x8cm;;;;;;;;;;;;;
ΚΟΡ/60019;Κόρνα ηλεκτρική χωνευτή;κορνες-σκαφων-13.jpg;Dc;12v;Διάμετρος;6.1cm;;;;;;;;;;;;;
ΚΟΡ/60012;Κόρνα με ενδοεπικοινωνία 12v;κορνα-ενδοεπικοινωνιας-20.jpg;Dc;12v ή 24 v;;;;;;;;;;;;;;;
ΜΙΖ/10272;Μίζα εκκίνησης 12v;μιζες-σκαφων-1.jpg;Dc;12 v;;;;;;;;;;;;;;;
ΜΟΤ/10130/12;Μοτέρ γυαλοκαθαριστήρα;μοτερ-γυαλοκαθαριστηρα-2.jpg;Dc;12 ή 24 volt;Angle;90/110 μοίρες;;;;;;;;;;;;;
ΜΟΤ/10160/12;Μοτέρ γυαλοκαθαριστήρα TMC;μοτερ-γυαλοκαθαριστηρα-1.jpg;Dc;12 ή 24 volt;Angle;100/110/120 μοίρες;Μήκος άξωνα;5.5 cm;;;;;;;;;;;
ΚΙΤ/15420W/12;Μοτέρ τουαλέτας TMC ;τουαλετες-σκαφων-1-1.jpg;Dc;12 volt;Μήκος;33 cm;;;;;;;;;;;;;
ΚΙΤ/15442/12;Μοτέρ τουαλέτας TMC ;2.jpg;Dc;12 volt;Μήκος;33 cm;;;;;;;;;;;;;
ΚΙΤ/15420W/24;Μοτέρ τουαλέτας TMC ;τουαλετες-σκαφων-1-1.jpg;Dc;24 volt;Μήκος;33 cm;;;;;;;;;;;;;
ΚΙΤ/15442/24;Μοτέρ τουαλέτας TMC ;2.jpg;Dc;24 volt;Μήκος;33 cm;;;;;;;;;;;;;
ΦΘΟ/1800;Πλαφονιέρα Led μονή 38 cm;πλαφονιερες-σκαφων-5.jpg;Dc;12/24 volt;Μήκος;38 cm;Πλάτος;8 cm;;;;;;;;;;;
ΠΛΑΦ/1145;Πλαφονιέρα κρεμαστή;φωτα-σκαφων-56.jpg;Dc;12 v;;;;;;;;;;;;;;;
ΠΛΑΦ/Τ70;Πλαφονιέρα τετράγωνη πλαστική μπλε/λευκό Led;φωτα-σκαφων-51.jpg;Dc;12v;;;;;;;;;;;;;;;
ΦΘΟ/1826-12;Πλαφονιέρα φθορίου διπλή 20cm;πλαφονιερες-σκαφων-1.jpg;Dc;12 ή 24 volt;Μήκος;20 cm;Πλάτος;11 cm;;;;;;;;;;;
ΦΘΟ/1825-12;Πλαφονιέρα φθορίου διπλή 38 cm;πλαφονιερες-σκαφων-2.jpg;Dc;12 volt;Μήκος;39 cm;Πλάτος;8 cm;;;;;;;;;;;
