ΙΜΠ/09-1028Β-1;Impeller 1028-B-1;ιμπελερ-σκαφων-10.jpg;Διάμετρος;6.5 cm;Ύψος;5.2 cm;;;;;;;;
ΙΜΠ/09-1029Β;Impeller 1029-B-1;ιμπελερ-σκαφων-10.jpg;Διάμετρος;9.5 cm;Ύψος;6.3 cm;;;;;;;;
ΙΜΠ/09-801Β;Impeller 801-B-1;ιμπελερ-σκαφων-2.jpg;Διάμετρος;5.7 cm;Ύψος;3.1 cm;Εσωτερική διάμετρος;15.9 mm;;;;;;
ΙΜΠ/09-802Β;Impeller 802-Β;ιμπελερ-σκαφων-6.jpg;Διάμετρος;9.5 cm;Ύψος;6.3 cm;;;;;;;;
ΙΜΠ/09-806Β-1;Impeller 806-B-1;ιμπελερ-σκαφων-1.jpg;Διάμετρος;4 cm;Ύψος;1.9 cm;Εσωτερική διάμετρος;9.5 mm;;;;;;
ΙΜΠ/09-808Β-1;Impeller 808-B-1;ιμπελερ-σκαφων-1.jpg;Διάμετρος;4 cm;Ύψος;1.9 cm;Εσωτερική διάμετρος;12 mm;;;;;;
ΙΜΠ/09-810Β-1;Impeller 810-B-1;ιμπελερ-σκαφων-8.jpg;Διάμετρος;5.1 cm;Ύψος;2.2 cm;Εσωτερική διάμετρος;12 mm;;;;;;
ΙΜΠ/09-812Β;Impeller 812-Β;ιμπελερ-σκαφων-10.jpg;Διάμετρος;6.5 cm;Ύψος;5 cm;;;;;;;;
ΙΜΠ/09-814Β;Impeller 814-Β;ιμπελερ-σκαφων-6.jpg;Διάμετρος;9.5 cm;Ύψος;8.8 cm;;;;;;;;
ΙΜΠ/09-819Β;Impeller 819-Β;ιμπελερ-σκαφων-6-1.jpg;Διάμετρος;9.5 cm;Ύψος;6.3 cm;;;;;;;;
ΙΜΠ/09-821Β-1;Impeller 821-Β-1;ιμπελερ-σκαφων-6.jpg;Διάμετρος;6.5 cm;Ύψος;8 cm;;;;;;;;
ΙΝΒ/Κ/1000;Inverter Καθαρού Ημιτόνου 1000watt;inverter-2.jpg;Συνεχόμενη Ισχύς;1000 watt;Στιγμιαία Ισχύς;2000 watt;Διαστάσεις;31.5x21cm;;;;;;
ΙΝΒ/Κ/2000/12;Inverter Καθαρού Ημιτόνου 2000watt;inverter-2.jpg;Συνεχόμενη Ισχύς;2000 watt;Στιγμιαία Ισχύς;4000 watt;Διαστάσεις;42.5cmx21cm;;;;;;
ΙΝΒ/Κ/2000/24;Inverter Καθαρού Ημιτόνου 2000watt/24volt;inverter-2.jpg;Συνεχόμενη Ισχύς;2000 watt;Στιγμιαία Ισχύς;4000 watt;Διαστάσεις;42.5cmx21cm;;;;;;
ΙΝΒ/Τ/1000;Inverter Τροποποιημένου Ημιτόνου 1000 watt;inverter-1.jpg;Συνεχόμενη Ισχύς;1000 watt;Στιγμιαία Ισχύς;2000 watt;Διαστάσεις;29cmx14.5cm;;;;;;
ΙΝΒ/Τ/600;Inverter Τροποποιημένου Ημιτόνου 600watt;inverter-1.jpg;Συνεχόμενη Ισχύς;600 watt;Στιγμιαία Ισχύς;1200 watt;Διαστάσεις;21cmx14.5cm;;;;;;
ΚΕΡ/6003;Kεραία vhf  6003;κεραιες-σκαφων-7.png;Προέλευση;Νέα Ζηλανδία;Μήκος;1.8 μέτρα;Marine gain;6 db;Συχνότητα;156-162 MHz;Καλώδιο;5 μέτρα;;
ΚΕΡ/6004;Kεραία vhf  6004;κεραιες-σκαφων-9.png;Προέλευση;Νέα Ζηλανδία;Μήκος;2.5 μέτρα;Marine gain;6 db;Συχνότητα;156-162 MHz;Καλώδιο;5 μέτρα;;
ΚΕΡ/6031;Kεραία vhf  6031 τηλεσκοπική;κεραιες-σκαφων-6.png;Προέλευση;Νέα Ζηλανδία;Μήκος;1.1 μέτρα;Marine gain;6 db;Συχνότητα;156-162 MHz;Καλώδιο;5 μέτρα;;
ΚΕΡ/6053;Kεραία vhf  6053 με ανοξείδωτη υποδοχή;κεραιες-σκαφων-8.png;Προέλευση;Νέα Ζηλανδία;Μήκος;1.8 μέτρα;Marine gain;6 db;Συχνότητα;156-162 MHz;Καλώδιο;5 μέτρα;;
ΚΕΡ/6087;Kεραία vhf  6087;κεραιες-σκαφων-3.png;Προέλευση;Νέα Ζηλανδία;Μήκος;60 cm;Marine gain;3 db;Συχνότητα;156-162 MHz;Καλώδιο;5 μέτρα;;
ΚΕΡ/6091;Kεραία vhf  6091 με σπαστή βάση;κεραιες-σκαφων-4.png;Προέλευση;Νέα Ζηλανδία;Μήκος;1 μέτρο;Marine gain;6 db;Συχνότητα;156-162 MHz;Καλώδιο;5 μέτρα;;
ΚΕΡ/6184;Kεραία vhf  6184 με γωνιά στήριξης;κεραιες-σκαφων-5.png;Προέλευση;Νέα Ζηλανδία;Μήκος;1 μέτρο;Marine gain;6 db;Συχνότητα;156-162 MHz;Καλώδιο;5 μέτρα;;
