ΤΕΡ/3774,Άκρα συρματοσχοίνου σπαστα,συρματοσχοινα-48.jpg,ΔΙΑΜΕΤΡΟΣ (mm),8,ΜΗΚΟΣ (mm),160,-,-
ΤΕΡ/3791,Άκρα συρματοσχοίνου Ταφ,συρματοσχοινα-49.jpg,ΔΙΑΜΕΤΡΟΣ (mm),4,ΜΗΚΟΣ (mm),45,-,-
ΤΕΡ/3792,Άκρα συρματοσχοίνου Ταφ,συρματοσχοινα-49.jpg,ΔΙΑΜΕΤΡΟΣ (mm),5,ΜΗΚΟΣ (mm),52,-,-
ΤΕΡ/3793,Άκρα συρματοσχοίνου Ταφ,συρματοσχοινα-49.jpg,ΔΙΑΜΕΤΡΟΣ (mm),6,ΜΗΚΟΣ (mm),62,-,-
ΤΕΡ/3795,Άκρα συρματοσχοίνου Ταφ,συρματοσχοινα-49.jpg,ΔΙΑΜΕΤΡΟΣ (mm),8,ΜΗΚΟΣ (mm),82,-,-
ΝΟΡ/3745,Άκρα χειρός norsman δίχαλα,συρματοσχοινα-51.jpg,ΔΙΑΜΕΤΡΟΣ (mm),10,ΜΗΚΟΣ (mm),130,-,-
ΝΟΡ/3740,Άκρα χειρός norsman δίχαλα,συρματοσχοινα-51.jpg,ΔΙΑΜΕΤΡΟΣ (mm),4,ΜΗΚΟΣ (mm),70,-,-
ΝΟΡ/3741,Άκρα χειρός norsman δίχαλα,συρματοσχοινα-51.jpg,ΔΙΑΜΕΤΡΟΣ (mm),5,ΜΗΚΟΣ (mm),80,-,-
ΝΟΡ/3742,Άκρα χειρός norsman δίχαλα,συρματοσχοινα-51.jpg,ΔΙΑΜΕΤΡΟΣ (mm),6,ΜΗΚΟΣ (mm),100,-,-
ΝΟΡ/3744,Άκρα χειρός norsman δίχαλα,συρματοσχοινα-51.jpg,ΔΙΑΜΕΤΡΟΣ (mm),8,ΜΗΚΟΣ (mm),100,-,-
ΝΟΡ/3737,Άκρα χειρός norsman μάτι,συρματοσχοινα-52.jpg,ΔΙΑΜΕΤΡΟΣ (mm),10,ΜΗΚΟΣ (mm),160,-,-
ΝΟΡ/3732,Άκρα χειρός norsman μάτι,συρματοσχοινα-52.jpg,ΔΙΑΜΕΤΡΟΣ (mm),4,ΜΗΚΟΣ (mm),61,-,-
ΝΟΡ/3733,Άκρα χειρός norsman μάτι,συρματοσχοινα-52.jpg,ΔΙΑΜΕΤΡΟΣ (mm),5,ΜΗΚΟΣ (mm),61,-,-
ΝΟΡ/3734,Άκρα χειρός norsman μάτι,συρματοσχοινα-52.jpg,ΔΙΑΜΕΤΡΟΣ (mm),6,ΜΗΚΟΣ (mm),110,-,-
ΝΟΡ/3736,Άκρα χειρός norsman μάτι,συρματοσχοινα-52.jpg,ΔΙΑΜΕΤΡΟΣ (mm),8,ΜΗΚΟΣ (mm),140,-,-
