ΚΩΔΙΚΟΣ	ΠΕΡΙΓΡΑΦΗ	ΜΗΚΟΣ (mm)	ΠΛΑΤΟΣ(mm)
ΜΕΝ/8620	ΜΕΝΤΕΣΕΣ ΜΕ ΕΣΩΤΕΡΙΚΟ ΣΠΕΙΡΩΜΑ ΙΝΟΧ	125	65
ΜΕΝ/9120656	ΜΕΝΤΕΣΕΣ ΜΕ ΑΥΤΟΚΟΛΛΗΤΑ ΚΑΠΑΚΙΑ 76Χ36	72	40
ΜΕΝ/ΚΑΘ/Α	ΜΕΝΤΕΣΕΣ ΚΑΘΙΣΜΑΤΟΣ ΙΝΟΧ ΑΡΙΣΤΕΡΟΣ	260+260	33
ΜΕΝ/ΚΑΘ/Δ	ΜΕΝΤΕΣΕΣ ΚΑΘΙΣΜΑΤΟΣ ΙΝΟΧ ΔΕΞΙΟΣ	260+260	33
ΜΕΝ/10012	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	100	32
ΜΕΝ/10014	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	100	35
ΜΕΝ/100140Α	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	140	100
ΜΕΝ/100140Δ	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	140	100
ΜΕΝ/10016	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	100	40
ΜΕΝ/10018	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	100	44
ΜΕΝ/10020	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	100	48
ΜΕΝ/10022	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	100	52
ΜΕΝ/1004545	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	100	100
ΜΕΝ/10052	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	1000	55
ΜΕΝ/10075	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	1000	75
ΜΕΝ/100DR	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	100	30
ΜΕΝ/11040	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	116	40
ΜΕΝ/13040	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	130	40
ΜΕΝ/18040	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	180	40
ΜΕΝ/18090	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	177	40
ΜΕΝ/20022	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	2000	22
ΜΕΝ/20025	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	2000	25
ΜΕΝ/20032	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	2000	32
