postid;code1;code2;title;image;a1;v1;a2;v2;a3;v3;a4;v4;a5;v5;a6;v6
9315;ΑΓΚ/ΟΜ/2.5;ΑΓΚ/ΟΜ/2.5;Άγκυρες σπαστές γαλβανιζέ;αγκυρες-σκαφων-9.jpg;Βάρος;2.5 κιλά;;;;;;;;;;
9317;ΑΓΚ/ΟΜ/3.2;ΑΓΚ/ΟΜ/3.2;Άγκυρες σπαστές γαλβανιζέ;αγκυρες-σκαφων-9.jpg;Βάρος;3.2 κιλά;;;;;;;;;;
9318;ΑΓΚ/ΟΜ/4;ΑΓΚ/ΟΜ/4;Άγκυρες σπαστές γαλβανιζέ;αγκυρες-σκαφων-9.jpg;Βάρος;4 κιλά;;;;;;;;;;
9319;ΑΓΚ/ΟΜ/6;ΑΓΚ/ΟΜ/6;Άγκυρες σπαστές γαλβανιζέ;αγκυρες-σκαφων-9.jpg;Βάρος;6 κιλά;;;;;;;;;;
9320;ΑΓΚ/ΟΜ/8;ΑΓΚ/ΟΜ/8;Άγκυρες σπαστές γαλβανιζέ;αγκυρες-σκαφων-9.jpg;Βάρος;8 κιλά;;;;;;;;;;
9321;ΑΓΚ/ΟΜ/10;ΑΓΚ/ΟΜ/10;Άγκυρες σπαστές γαλβανιζέ;αγκυρες-σκαφων-9.jpg;Βάρος;10 κιλά;;;;;;;;;;
9322;ΑΓΚ/ΟΜ/12;ΑΓΚ/ΟΜ/12;Άγκυρες σπαστές γαλβανιζέ;αγκυρες-σκαφων-9.jpg;Βάρος;12 κιλά;;;;;;;;;;
9323;ΑΓΚ/ΟΜ/15;ΑΓΚ/ΟΜ/15;Άγκυρες σπαστές γαλβανιζέ;αγκυρες-σκαφων-9.jpg;Βάρος;15 κιλά;;;;;;;;;;
9326;ΑΓΚ/ΠΙ/10;ΑΓΚ/ΠΙ/10;Άγκυρες πινέλο γαλβανιζέ ;αγκυρες-σκαφων-11.jpg;Βάρος;10 κιλά;;;;;;;;;;
9328;ΑΓΚ/ΠΙ/12;ΑΓΚ/ΠΙ/12;Άγκυρες πινέλο γαλβανιζέ ;αγκυρες-σκαφων-11.jpg;Βάρος;12 κιλά;;;;;;;;;;
9329;ΑΓΚ/ΠΙ/15;ΑΓΚ/ΠΙ/15;Άγκυρες πινέλο γαλβανιζέ ;αγκυρες-σκαφων-11.jpg;Βάρος;15 κιλά;;;;;;;;;;
9330;ΑΓΚ/ΠΙ/20;ΑΓΚ/ΠΙ/20;Άγκυρες πινέλο γαλβανιζέ ;αγκυρες-σκαφων-11.jpg;Βάρος;20 κιλά;;;;;;;;;;
9331;ΑΓΚ/ΠΙ/25;ΑΓΚ/ΠΙ/25;Άγκυρες πινέλο γαλβανιζέ ;αγκυρες-σκαφων-11.jpg;Βάρος;25 κιλά;;;;;;;;;;
9332;ΑΓΚ/ΠΙ/35;ΑΓΚ/ΠΙ/35;Άγκυρες πινέλο γαλβανιζέ ;αγκυρες-σκαφων-11.jpg;Βάρος;35 κιλά;;;;;;;;;;
9338;ΑΓΚ/ΜΠ/2.5;ΑΓΚ/ΜΠ/2.5;Άγκυρες Bruce γαλβανιζέ;αγκυρες-σκαφων-13.jpg;Βάρος;2.5 κιλα;;;;;;;;;;
