postid;code1;code2;title;image;a1;v1;a2;v2;a3;v3;a4;v4;a5;v5;a6;v6
8387;ΕΡΓ/611;ΕΡΓ/611;Εργατης 800 watt χωνευτός;εργατες-σκαφων-3.jpg;Dc;12 vol;Μέγιστη έλξη;700 κιλά;Αλυσίδα;8 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;32 cm;Ύψος κεφαλής;11 cm
8392;ΕΡΓ/711;ΕΡΓ/711;Εργατης 1200 watt χωνευτός;εργατες-σκαφων-3.jpg;Dc;12 volt ή 24 volt;Μέγιστη έλξη;1200 κιλά;Αλυσίδα;10 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;35 cm;Ύψος κεφαλής;11 cm
8385;ΕΡΓ/511Τ;ΕΡΓ/511Τ;Εργατης 600 watt χωνευτός με τύμπανο;εργατες-σκαφων-6.jpg;Dc;12 volt;Έλξη;560 κιλά;Αλυσίδα;6 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;26 cm;Ύψος κεφαλής;11.5 cm
10351;ΕΡΓ/ΣΧ/4500;ΕΡΓ/ΣΧ/4500;Εργάτης T-max 4500 lbs με σχοινί;εργατες-jeep-16.jpg;Dc;12 v;Έλξη;2.040 kgs;Μήκος;37.2 cm;Φάρδος;12.8 cm;Ύψος;18.1 cm;Βάρος;11.8 kgs
10328;ΕΡΓ/ΣΧ/6000;ΕΡΓ/ΣΧ/6000;Εργάτης T-max 6000 lbs;εργατες-jeep-4.jpg;Dc;12 v;Έλξη;2.720 kgs;Μήκος;38 cm;Φάρδος;13 cm;Ύψος;18.5 cm;Βάρος;12.5 kgs
10321;ΕΡΓ/3500;ΕΡΓ/3500;Εργάτης T-max 3500 lbs;tmax-3500.jpg;Dc;12 v;Έλξη;1587 kgs;Μήκος;34.8 cm;Φάρδος;12 cm;Ύψος;12.8 cm;Βάρος;13 kgs
8395;ΕΡΓ/S612;ΕΡΓ/S612;Εργατης 600 watt εξωτερικός;εργατες-σκαφων-7.jpg;Dc;12 volt;Έλξη;560 κιλά;Αλυσίδα;6 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος;26 cm; Ύψος;14 cm
10324;ΕΡΓ/4500;ΕΡΓ/4500;Εργάτης T-max 4500 lbs;t-max-4500lbs.jpg;Dc;12 v;Έλξη;2.040 kgs;Μήκος;37 cm;Φάρδος;12 cm;Ύψος;18 cm;Βάρος;14.5 kgs
8391;ΕΡΓ/611Τ;ΕΡΓ/611Τ;Εργατης 800 watt χωνευτός με τύμπανο;εργατες-σκαφων-1.jpg;Dc;12 volt;Μέγιστη έλξη;700 κιλά;Αλυσίδα;8 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;32 cm;Ύψος κεφαλής;16.5 cm
8393;ΕΡΓ/711Τ;ΕΡΓ/711Τ;Εργατης 1200 watt χωνευτός με τύμπανο;εργατες-σκαφων-1.jpg;Dc;12 volt ή 24 volt;Μέγιστη έλξη;1200 κιλά;Αλυσίδα;10 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;35 cm;Ύψος κεφαλής;16.5 cm
8400;ΕΡΓ/YD1600/12;ΕΡΓ/YD1600/12;Εργάτης εξωτερικός 1600 watt;εργατες-σκαφων-1-1.jpg;Dc;12 ή 24 volt;Αλυσίδα;10 ή 12  mm;Ισχύς;1600 watt;Μέγιστη έλξη;1400 κιλά;Μήκος;44 cm;Πλάτος Βάσης;17 cm
8394;ΕΡΓ/811Τ;ΕΡΓ/811Τ;Εργατης 1600 watt χωνευτός με τὐμπανο;εργατες-σκαφων-1.jpg;Dc;12 volt ή 24 volt;Μέγιστη έλξη;1600 κιλά;Αλυσίδα;10 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;40 cm;Ύψος κεφαλής;18  cm
8019;ΤΟΥΑΛ/15410/12;ΤΟΥΑΛ/15410/12;Τουαλέτες ηλεκτρικές μικρές TMC ;τουαλετες-σκαφων-2.jpg;Dc;12 volt;Πλάτος;33 cm;Βάθος;39+3 cm;Υψος;34.5 cm;Είσοδος;25 mm;Έξοδος;25 mm
8021;ΤΟΥΑΛ/15410/24;ΤΟΥΑΛ/15410/24;Τουαλέτες ηλεκτρικές μικρές TMC ;τουαλετες-σκαφων-2.jpg;Dc;24 volt;Πλάτος;33 cm;Βάθος;39+3 cm;Υψος;34.5 cm;Είσοδος;25 mm;Έξοδος;25 mm
8022;ΤΟΥΑΛ/15430/12;ΤΟΥΑΛ/15430/12;Τουαλέτες ηλεκτρικές μεσαίες  TMC ;τουαλετες-σκαφων-2-2.jpg;Dc;12 volt;Πλάτος;36 cm;Βάθος;45.5+3 cm;Υψος;37 cm;Είσοδος;25 mm;Έξοδος;25 mm
8024;ΤΟΥΑΛ/15430/24;ΤΟΥΑΛ/15430/24;Τουαλέτες ηλεκτρικές μεσαίες  TMC ;τουαλετες-σκαφων-2-2.jpg;Dc;24 volt;Πλάτος;36 cm;Βάθος;45.5+3 cm;Υψος;37 cm;Είσοδος;25 mm;Έξοδος;25 mm
8028;ΤΟΥΑΛ/15440/12;ΤΟΥΑΛ/15440/12;Τουαλέτες ηλεκτρικές deluxe  TMC ;τουαλετες-σκαφων-4.jpg;Dc;12 volt;Πλάτος;37 cm;Βάθος;45.5+3 cm;Υψος;38 cm;Είσοδος;25 mm;Έξοδος;25 mm
8029;ΤΟΥΑΛ/15440/24;ΤΟΥΑΛ/15440/24;Τουαλέτες ηλεκτρικές deluxe  TMC ;τουαλετες-σκαφων-4.jpg;Dc;24 volt;Πλάτος;37 cm;Βάθος;45.5+3 cm;Υψος;38 cm;Είσοδος;25 mm;Έξοδος;25 mm
10342;ΕΡΓ/XPOWER/ΣΧ/9500;ΕΡΓ/XPOWER/ΣΧ/9500;Εργάτης T-max Xpower 9500 lbs με σχοινί;εργατες-jeep-10.png;Dc;12 v;Έλξη;4.305 kgs;Μήκος;53 cm;Φάρδος;16 cm;Ύψος;20 cm;Βάρος;26 kgs
10344;ΓΕΦ/ΣΧ/9500;ΓΕΦ/ΣΧ/9500;Εργάτης εξωτερικός 9500 lbs με σχοινί;εργατες-jeep-11.jpg;Dc;12 v;Έλξη;4.305 kgs;Μήκος;53.7 cm;Φάρδος;16 cm;Ύψος;25.4 cm;Βάρος;29.5 kgs
10326;ΕΡΓ/6500;ΕΡΓ/6500;Εργάτης T-max 6500 lbs;εργατες-jeep-3.jpg;Dc;12 v;Έλξη;2.950 kgs;Μήκος;47 cm;Φάρδος;16 cm;Ύψος;20.5 cm;Βάρος;30 kgs
10584;ΤΕΝ/ΠΛ/79;ΤΕΝ/ΠΛ/79;T-Top 79 αλουμινίου;τεντες-πλευσης-2.jpg;Αλουμίνιο;6063;Σωλήνα;40mm;Ύψος;2 μέτρα;Φάρδος;εώς 1 μέτρο;Καπέλο;1.60x1.30 μέτρα;Βάρος;30 κιλά
10337;ΕΡΓ/XPOWER/8500;ΕΡΓ/XPOWER/8500;Εργάτης T-max Xpower 8500 lbs;εργατες-jeep-21.jpg;Dc;12 v;Έλξη;3.850 kgs;Μήκος;53 cm;Φάρδος;16 cm;Ύψος;20 cm;Βάρος;35 kgs
10330;ΕΡΓ/8500;ΕΡΓ/8500;Εργάτης T-max 8500 lbs;εργατες-jeep-6.jpg;Dc;12 v;Έλξη;3.850 kgs;Μήκος;55 cm;Φάρδος;16 cm;Ύψος;20.5 cm;Βάρος;36 kgs
10339;ΕΡΓ/XPOWER/9500;ΕΡΓ/XPOWER/9500;Εργάτης T-max Xpower 9500 lbs;εργατες-jeep-9.jpg;Dc;12 v;Έλξη;4.305 kgs;Μήκος;55 cm;Φάρδος;16 cm;Ύψος;20 cm;Βάρος;36 kgs
10333;ΕΡΓ/9500/12;ΕΡΓ/9500/12;Εργάτης T-max 9500 lbs;εργατες-jeep-6.jpg;Dc;12 v ή 24 v;Έλξη;4.305 kgs;Μήκος;53.7 cm;Φάρδος;16 cm;Ύψος;21.8 cm;Βάρος;38 kgs
10334;ΕΡΓ/11000/12;ΕΡΓ/11000/12;Εργάτης T-max 11000 lbs;ew11000.jpg;Dc;12 v ή 24 v;Έλξη;4.985 kgs;Μήκος;54 cm;Φάρδος;16 cm;Ύψος;21.8 cm;Βάρος;38 kgs
10336;ΕΡΓ/12500/12;ΕΡΓ/12500/12;Εργάτης T-max 12500 lbs;εργατες-jeep-7.jpg;Dc;12 v ή 24 v;Έλξη;5.665 kgs;Μήκος;54 cm;Φάρδος;16 cm;Ύψος;21.8 cm;Βάρος;38 kgs
10341;ΕΡΓ/XPOWER/12500;ΕΡΓ/XPOWER/12500;Εργάτης T-max Xpower 12500 lbs;εργατες-jeep-22.jpg;Dc;12 v;Έλξη;5.665 kgs;Μήκος;55 cm;Φάρδος;16 cm;Ύψος;20 cm;Βάρος;39 kgs
10346;ΕΡΓ/ΓΕΦ/10000;ΕΡΓ/ΓΕΦ/10000;Εργάτης εξωτερικός Εwi-series 10.000 lbs;εργατες-jeep-25.jpg;Dc;12 v;Έλξη;4.523 kgs;Μήκος;53cm;Φάρδος;16 cm;Ύψος;25.4 cm;Βάρος;43 kgs
10350;ΕΡΓ/ΓΕΦ/12000;ΕΡΓ/ΓΕΦ/12000;Εργάτης εξωτερικός Εwi-series 12.000 lbs;εργατες-jeep-13.jpg;Dc;12 v;Έλξη;5.440 kgs;Μήκος;54cm;Φάρδος;16 cm;Ύψος;25.4 cm;Βάρος;43 kgs
10356;ΕΡΓ/ΑΣ/15000/12;ΕΡΓ/ΑΣ/15000/12;Εργάτης T-max 15000 lbs;εργατες-jeep-27.jpg;Dc;12 v ή 24 v;Έλξη;6.800 kgs;Μήκος;59.5 cm;Φάρδος;21 cm;Ύψος;26 cm;Βάρος;65 kgs
8383;ΕΡΓ/511;ΕΡΓ/511;Εργατης 600 watt χωνευτός;εργατες-σκαφων-4.jpg;Dc;12 volt;Έλξη;560 κιλά;Αλυσίδα;6 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;26 cm;Ύψος κεφαλής;8.5 cm
5425;ΠΡΟΒ/01005W;ΠΡΟΒ/01005W;Προβολείς 54 LED;προβολεις-σκαφων-4.jpg;Προβολέας pvcΧρώμα;λευκόΙσχύς;;;;;;;;;;
5427;ΠΡΟΒ/00105Β;ΠΡΟΒ/00105Β;Προβολείς 54 LED;προβολεις-σκαφων-7.jpg;Προβολέας pvcΧρώμα;μαύροΙσχύς;;;;;;;;;;
5429;ΠΡΟΒ/1604/LED;ΠΡΟΒ/1604/LED;Προβολέας 12 High power LED;προβολεις-σκαφων-14.jpg;Προβολέας ΠλαστικόςΧρώμα;λευκόΙσχύς;;;;;;;;;;
5430;ΠΡΟΒ/1323000/12;ΠΡΟΒ/1323000/12;Προβολέας μονός τηλεχειριζόμενος  sealed beam;προβολεις-σκαφων-8.jpg;Προβολέας τηλεχειριζόμενοςΧρώμα;λευκόΙσχύς;;;;;;;;;;
5437;ΠΡΟ/0803;ΠΡΟ/0803;Προβολέας ανοξείδωτος αλμπούρου;προβολεις-σκαφων-16.jpg;Ισχύς;55 watt;Διάμετρος;12cm;;;;;;;;
5441;ΠΡΟΒ/01607;ΠΡΟΒ/01607;Προβολέας αλογόνου πλαστικός;προβολεις-σκαφων-12.jpg;Προβολέας πλαστικόςΧρώμα;λευκόΙσχύς;;;;;;;;;;
5442;ΠΡΟΒ/00802;ΠΡΟΒ/00802;Προβολέας πλαστικός αλογόνου;προβολεις-σκαφων-20.jpg;Προβολέας πλαστικόςΧρώμα;Λευκό με μαύρο περίγραμμαΙσχύς;;;;;;;;;;
5446;ΠΡΟΒ/10940;ΠΡΟΒ/10940;Προβολέας λάστιχο χειρός;προβολεις-σκαφων-18.jpg;Προβολέας λαστιχωτόςΧρώμα;ΜαύροΙσχύς;;;;;;;;;;
5448;ΠΡΟΒ/8206;ΠΡΟΒ/8206;Προβολέας αλογόνου χειρός;προβολεις-σκαφων-22.jpg;Προβολέας πλαστικόςΧρώμα;ΜαύροΙσχύς;;;;;;;;;;
5449;ΠΡΟΒ/C14062;ΠΡΟΒ/C14062;Προβολέας αλογόνου χειρός;προβολεις-σκαφων-25.jpg;Προβολέας πλαστικόςΧρώμα;ΜαύροΙσχύς;;;;;;;;;;
5455;ΠΡΟΒ/111;ΠΡΟΒ/111;Προβολέας στρογγυλός 5 high power Led;προβολεις-σκαφων.jpg;Προβολέας αλουμινίουΧρώμα;ΜαύροΙσχύς;;;;;;;;;;
5461;ΠΡΟΒ/220;ΠΡΟΒ/220;Προβολέας  τετράγωνος 5 high power led;προβολεις-σκαφων-2.jpg;Προβολέας αλουμινίουΧρώμα;ΜαύροΙσχύς;;;;;;;;;;
5471;ΠΡΟΒ/1300512;ΠΡΟΒ/1300512;Προβολέας sealed beam με λαβή;προβολεας-σκαφων-5.jpg;Προβολέας sealed beamΧρώμα;ΛευκόΙσχύς;;;;;;;;;;
5476;ΠΡΟΒ/1604-WB;ΠΡΟΒ/1604-WB;Προβολέας βάσης sealed beam;προβολεις-σκαφων-8.jpg;Προβολέας βάσης πλαστικόςΧρώμα;ΛευκόΙσχύς;;;;;;;;;;
5480;ΠΡΟΒ/5912Τ/24;ΠΡΟΒ/5912Τ/24;Προβολέας Marco τηλεχειριζόμενος 360 μοίρες;προβολεις-σκαφων-10.jpg;Προβολέας Marco τηλεχειριζόμενος 360 μοίρεςΧρώμα;ΛευκόΙσχύς;;;;;;;;;;
5482;ΠΡΟΒ/1211400;ΠΡΟΒ/1211400;Προβολέας ψαρέματος με κροκοδειλάκια;προβολεας-σκαφων-11.jpg;Προβολέας ΨαρέματοςΧρώμα;ΛευκόΙσχύς;;;;;;;;;;
5485;ΠΡΟΒ/00805;ΠΡΟΒ/00805;Προβολέας στρογγυλός λαστιχωτός;προβολεας-σκαφων-13.jpg;Προβολέας λαστιχωτός με λαμάκιαΧρώμα;ΛευκόΙσχύς;;;;;;;;;;
5487;ΑΝΤ/ΛΑΜ/12;ΑΝΤ/ΛΑΜ/12;Ανταλλακτικές λάμπες προβολέα sealed beam;προβολεις-σκαφων-16.jpg;Ανταλλακτική λάμπα προβολέα sealed beamΙσχύς;100 wattDc;;;;;;;;;;
5490;ΛΑΜ/1323012;ΛΑΜ/1323012;Ανταλλακτικές λάμπες προβολέα sealed beam;προβολεις-σκαφων-15.jpg;Ανταλλακτική λάμπα προβολέα sealed beamΙσχύς;100 wattDc;;;;;;;;;;
5494;ΛΑΜ/1323202;ΛΑΜ/1323202;Ανταλλακτική λάμπα διπλή sealed beam;προβολεις-σκαφων-21.jpg;Ανταλλακτική λάμπα διπλή sealed beamΙσχύς;100 wattDc;;;;;;;;;;
5501;ΠΡΟΒ/01604-WBT;ΠΡΟΒ/01604-WBT;Προβολέας για ρέλια sealed beam;προβολεας-σκαφων-24-2.jpg;Προβολέας για ρέλια πλαστικόςΧρώμα;ΛευκόΙσχύς;;;;;;;;;;
5507;ΑΤΤ027;ΑΤΤ027;Μουράβιες σκληρές Tropical;μουραβιες-1.jpg;Μουράβια σκληρήΠλούσια σε χαλκόΙδανική για ψαράδικα και επαγγελματικά.Εφαρμόζεται σε όλες τις επιφάνειες εκτός αλουμινίουΚαλυπτικότητα 8 τετραγωνικά/λίτροΕφαρμογή δεύτερης επικάλυψης 8 ώρες minimum/τρύψιμο μετά το πέρας 48 ωρών.Χρόνος καθέλκυσης;24 ώρες minimum-30 μέρες maximum1 χέρι/50 microns/6 μήνες;;;;;;;;;;
5516;ΑΝΤ/200;ΑΝΤ/200;Αντλία σεντίνας TMC μπετονιού;αντλιες-σκαφων-2.jpg;Παροχή;100 γαλόνια/ώρα;Έξοδος;11 mm;Dc;12 volt;Ύψος;4 μέτρα;;;;
5519;ΑΝΤ/ΜΑ/500/12;ΑΝΤ/ΜΑ/500/12;Αντλίες σεντίνας TMC;αντλιες-σκαφων-1.jpg;Παροχή;500 γαλόνια/ώρα;Έξοδος;20 mm;Dc;12 volt;Ύψος;3 μέτρα;;;;
5521;ΑΝΤ/ΜΑ/500/24;ΑΝΤ/ΜΑ/500/24;Αντλίες σεντίνας TMC;αντλιες-σκαφων-1.jpg;Παροχή;500 γαλόνια/ώρα;Έξοδος;20 mm;Dc;24 volt;Ύψος;3 μέτρα;;;;
5522;ΑΝΤ/ΜΑ/1000/12;ΑΝΤ/ΜΑ/1000/12;Αντλίες σεντίνας TMC;αντλιες-σκαφων-3.jpg;Παροχή;1000 γαλόνια/ώρα;Έξοδος;29.5 mm;Dc;12 volt;Ύψος;4 μέτρα;;;;
5525;ΑΝΤ/ΜΑ/1000/24;ΑΝΤ/ΜΑ/1000/24;Αντλίες σεντίνας TMC;αντλιες-σκαφων-3.jpg;Παροχή;1000 γαλόνια/ώρα;Έξοδος;29.5 mm;Dc;24 volt;Ύψος;4 μέτρα;;;;
5527;ΑΝΤ/ΜΑ/2000/12;ΑΝΤ/ΜΑ/2000/12;Αντλίες σεντίνας TMC;αντλιες-σκαφων-5-1.jpg;Παροχή;2000 γαλόνια/ώρα;Έξοδος;32 mm;Dc;12 volt;Ύψος;3 μέτρα;;;;
5529;ΑΝΤ/ΜΑ/2000/24;ΑΝΤ/ΜΑ/2000/24;Αντλίες σεντίνας TMC;αντλιες-σκαφων-5.jpg;Παροχή;2000 γαλόνια/ώρα;Έξοδος;32 mm;Dc;24 volt;Ύψος;4 μέτρα;;;;
5530;ΑΝΤ/10095/12;ΑΝΤ/10095/12;Αντλία σεντίνας TMC με έξοδο από πάνω;αντλιες-σκαφων-8.jpg;Παροχή;1000 γαλόνια/ώρα;Έξοδος;20mm;Dc;12 volt;Ύψος;5 μέτρα;;;;
5532;ΑΝΤ/10095/24;ΑΝΤ/10095/24;Αντλίες σεντίνας TMC με έξοδο από πάνω;αντλιες-σκαφων-8.jpg;Παροχή;1000 γαλόνια/ώρα;Έξοδος;20mm;Dc;24 volt;Ύψος;5 μέτρα;;;;
5533;ΑΝΤ/10097/12;ΑΝΤ/10097/12;Αντλίες σεντίνας TMC με έξοδο από πάνω;αντλιες-σκαφων-10-1.jpg;Παροχή;2500 γαλόνια/ώρα;Έξοδος;32mm;Dc;12 volt;Ύψος;5 μέτρα;;;;
5535;ΑΝΤ/10097/24;ΑΝΤ/10097/24;Αντλίες σεντίνας TMC με έξοδο από πάνω;αντλιες-σκαφων-10-1.jpg;Παροχή;2500 γαλόνια/ώρα;Έξοδος;32mm;Dc;24 volt;Ύψος;5 μέτρα;;;;
5545;ΑΝΤ/7501/12;ΑΝΤ/7501/12;Αντλίες σεντίνας D-pump;αντλιες-σκαφων-12.jpg;Παροχή;500 γαλόνια/ώρα;Έξοδος;20mm;Dc;12 volt;Ύψος;4 μέτρα;;;;
5547;ΑΝΤ/7501/24;ΑΝΤ/7501/24;Αντλίες σεντίνας D-pump;αντλιες-σκαφων-12.jpg;Παροχή;500 γαλόνια/ώρα;Έξοδος;20mm;Dc;24 volt;Ύψος;4 μέτρα;;;;
5548;ΑΝΤ/5806/12;ΑΝΤ/5806/12;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-13.jpg;Παροχή;1000 γαλόνια/ώρα;Έξοδος;28.5mm;Dc;12 volt;Ύψος;4 μέτρα;;;;
5550;ΑΝΤ/5806/24;ΑΝΤ/5806/24;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-13.jpg;Παροχή;1000 γαλόνια/ώρα;Έξοδος;28.5mm;Dc;24 volt;Ύψος;4 μέτρα;;;;
5560;ΑΝΤ/6207/12;ΑΝΤ/6207/12;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-14.jpg;Παροχή;1500 γαλόνια/ώρα;Έξοδος;28.5mm;Dc;12volt;Ύψος;4 μέτρα;;;;
5561;ΑΝΤ/6207/24;ΑΝΤ/6207/24;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-14.jpg;Παροχή;1500 γαλόνια/ώρα;Έξοδος;28.5mm;Dc;24volt;Ύψος;4 μέτρα;;;;
5562;ΑΝΤ/6208/12;ΑΝΤ/6208/12;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-15.jpg;Παροχή;2000 γαλόνια/ώρα;Έξοδος;28.5mm;Dc;12volt;Ύψος;4 μέτρα;;;;
5564;ΑΝΤ/6208/24;ΑΝΤ/6208/24;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-15.jpg;Παροχή;2000 γαλόνια/ώρα;Έξοδος;28.5mm;Dc;24volt;Ύψος;4 μέτρα;;;;
5565;ΑΝΤ/6928/12;ΑΝΤ/6928/12;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-16.jpg;Παροχή;3000 γαλόνια/ώρα;Έξοδος;32mm;Dc;12volt;Ύψος;5 μέτρα;;;;
5568;ΑΝΤ/6928/24;ΑΝΤ/6928/24;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-16.jpg;Παροχή;3000 γαλόνια/ώρα;Έξοδος;32mm;Dc;24volt;Ύψος;5 μέτρα;;;;
5569;ΑΝΤ/6307/12;ΑΝΤ/6307/12;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-17.jpg;Παροχή;3100 γαλόνια/ώρα;Έξοδος;40mm;Dc;12volt;Ύψος;8 μέτρα;;;;
5571;ΑΝΤ/6307/24;ΑΝΤ/6307/24;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-17.jpg;Παροχή;3100 γαλόνια/ώρα;Έξοδος;40mm;Dc;24volt;Ύψος;8 μέτρα;;;;
5572;ΑΝΤ/6308/12;ΑΝΤ/6308/12;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-20.jpg;Παροχή;3500 γαλόνια/ώρα;Έξοδος;40mm;Dc;12volt;Ύψος;8 μέτρα;;;;
5574;ΑΝΤ/6308/24;ΑΝΤ/6308/24;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-20.jpg;Παροχή;3500 γαλόνια/ώρα;Έξοδος;40mm;Dc;24volt;Ύψος;8 μέτρα;;;;
5575;ΑΝΤ/6309/12;ΑΝΤ/6309/12;Αντλίες σεντίνας  D-pump ;αντλια-σεντινας-18.jpg;Παροχή;3700 γαλόνια/ώρα;Έξοδος;40mm;Dc;12 volt;Ύψος;8 μέτρα;;;;
5577;ΑΝΤ/6309/24;ΑΝΤ/6309/24;Αντλίες σεντίνας  D-pump ;αντλια-σεντινας-18.jpg;Παροχή;3700 γαλόνια/ώρα;Έξοδος;40mm;Dc;24 volt;Ύψος;8 μέτρα;;;;
5578;ΑΝΤ/6918/12;ΑΝΤ/6918/12;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-21.jpg;Παροχή;4700 γαλόνια/ώρα;Έξοδος;50mm;Dc;12volt;Ύψος;8 μέτρα;;;;
5580;ΑΝΤ/6918/24;ΑΝΤ/6918/24;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-21.jpg;Παροχή;4700 γαλόνια/ώρα;Έξοδος;50mm;Dc;24volt;Ύψος;8 μέτρα;;;;
5582;ΑΝΤ/450/12;ΑΝΤ/450/12;Αντλία TMC σεντίνας 12v 450 γαλόνια/ώρα;αντλιες-σκαφων-25-1.jpg;Παροχή;450 γαλόνια/ώρα;Έξοδος;20mm;Dc;12 volt;Ύψος;2 μέτρα;;;;
5585;ΑΝΤ/7101/12;ΑΝΤ/7101/12;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-25-2.jpg;Παροχή;550 γαλόνια/ώρα;Έξοδος;29mm;Dc;12 volt;Ύψος;4 μέτρα;;;;
5589;ΑΝΤ/7102/12;ΑΝΤ/7102/12;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-26.jpg;Παροχή;1100 γαλόνια/ώρα;Έξοδος;29mm;Dc;12 volt;Ύψος;4 μέτρα;;;;
5592;ΑΝΤ/7102/24;ΑΝΤ/7102/24;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-26.jpg;Παροχή;1100 γαλόνια/ώρα;Έξοδος;29mm;Dc;24 volt;Ύψος;4 μέτρα;;;;
5593;ΑΝΤ/7101/24;ΑΝΤ/7101/24;Αντλίες σεντίνας  D-pump ;αντλιες-σκαφων-25-2.jpg;Παροχή;550 γαλόνια/ώρα;Έξοδος;29mm;Dc;24 volt;Ύψος;4 μέτρα;;;;
5594;ΑΝΤ/R/500/12;ΑΝΤ/R/500/12;Αντλίες σεντίνας rule ;αντλιες-σκαφων-28.jpg;Παροχή;500 γαλόνια/ώρα;Έξοδος;19mm;Dc;12 volt;Ύψος;4 μέτρα;;;;
5598;ΑΝΤ/R/500/24;ΑΝΤ/R/500/24;Αντλίες σεντίνας rule ;αντλιες-σκαφων-28.jpg;Παροχή;500 γαλόνια/ώρα;Έξοδος;19mm;Dc;24 volt;Ύψος;4 μέτρα;;;;
5599;ΑΝΤ/R/360;ΑΝΤ/R/360;Αντλίες σεντίνας rule ;αντλιες-σκαφων-27.jpg;Παροχή;360 γαλόνια/ώρα;Έξοδος;19mm;Dc;12 volt;Ύψος;4 μέτρα;;;;
5601;ΑΝΤ/R/800;ΑΝΤ/R/800;Αντλίες σεντίνας rule ;αντλιες-σκαφων-30.jpg;Παροχή;800 γαλόνια/ώρα;Έξοδος;19mm;Dc;12 volt;Ύψος;4 μέτρα;;;;
5603;ΑΝΤ/R/1000;ΑΝΤ/R/1000;Αντλίες σεντίνας rule ;αντλιες-σκαφων-31.jpg;Παροχή;1000 γαλόνια/ώρα;Έξοδος;29mm;Dc;12 volt;Ύψος;5 μέτρα;;;;
5605;ΑΝΤ/R/1100;ΑΝΤ/R/1100;Αντλίες σεντίνας rule ;αντλιες-σκαφων-32.jpg;Παροχή;1100 γαλόνια/ώρα;Έξοδος;29mm;Dc;12 volt;Ύψος;5 μέτρα;;;;
5607;ΑΝΤ/R/1100/24;ΑΝΤ/R/1100/24;Αντλίες σεντίνας rule ;αντλιες-σκαφων-32.jpg;Παροχή;1100 γαλόνια/ώρα;Έξοδος;29mm;Dc;24 volt;Ύψος;5 μέτρα;;;;
5608;ΑΝΤ/R/1500/12;ΑΝΤ/R/1500/12;Αντλίες σεντίνας rule ;αντλιες-σκαφων-33.jpg;Παροχή;1500 γαλόνια/ώρα;Έξοδος;29mm;Dc;12 volt;Ύψος;6 μέτρα;;;;
5610;ΑΝΤ/R/1500/24;ΑΝΤ/R/1500/24;Αντλίες σεντίνας rule ;αντλιες-σκαφων-33.jpg;Παροχή;1500 γαλόνια/ώρα;Έξοδος;29mm;Dc;24 volt;Ύψος;6 μέτρα;;;;
5611;ΑΝΤ/R/2000/12;ΑΝΤ/R/2000/12;Αντλίες σεντίνας rule ;αντλιες-σκαφων-34.jpg;Παροχή;2000 γαλόνια/ώρα;Έξοδος;29mm;Dc;12 volt;Ύψος;6 μέτρα;;;;
5613;ΑΝΤ/R/2000/24;ΑΝΤ/R/2000/24;Αντλίες σεντίνας rule ;αντλιες-σκαφων-34.jpg;Παροχή;2000 γαλόνια/ώρα;Έξοδος;29mm;Dc;24 volt;Ύψος;6 μέτρα;;;;
5614;ΑΝΤ/ΣΑΧ/750/12;ΑΝΤ/ΣΑΧ/750/12;Αντλίες σεντινας αυτόματες ;αντλιες-σκαφων-36.jpg;Παροχή;750 γαλόνια/ώρα;Έξοδος;19mm;Dc;12 volt;Ύψος;3 μέτρα;;;;
5617;ΑΝΤ/ΑΥΤ/500/12;ΑΝΤ/ΑΥΤ/500/12;Αντλίες σεντινας αυτόματες ;αντλιες-σκαφων-37.jpg;Παροχή;500 γαλόνια/ώρα;Έξοδος;19mm;Dc;12 volt;Ύψος;3 μέτρα;;;;
