kodikos,DIAMETROS,titlos,Psyxi-pirinas,pleksi,baros,thrausi,epipleon plirofories,poiotita
7/19Π/Α4/10,8-10,Συρματόσχοινο επενδεδυμένο ανοξείδωτο,Συρματόσχοινο 8/με επένδυση 10 χιλιοστά,7 κλώνοι/19 συρματίδια ο κλώνος,-,3500 κιλά, Λευκή επένδυση, Aisi 316
7/19Π/Α4/12,10-12,Συρματόσχοινο επενδεδυμένο ανοξείδωτο,Συρματόσχοινο 10/με επένδυση 12 χιλιοστά,7 κλώνοι/19 συρματίδια ο κλώνος,-,5500 κιλά, Λευκή επένδυση, Aisi 316
1/19/ΓΧΨ/2,2-3,Συρματόσχοινο/ντίζα,Χαλύβδινη ψυχή,19 κλώνοι/1 συρματίδιο ο κλώνος,14 γραμ/μέτρο,210 κιλά,-,-
1/19/ΓΧΨ/1.6,1.6,Συρματόσχοινο/ντίζα,Χαλύβδινη ψυχή,19 κλώνοι/1 συρματίδιο ο κλώνος,12 γραμ/μέτρο,190 κιλά,-,-
7/19/Α4/5/304,5,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,1300 κιλά,-,Aisi 304
7/19/Α4/4/304,4,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,850 κιλά,-,Aisi 304
7/19/Α4/6/304,6,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,1900 κιλά,-,Aisi 304
6/19Π/6Μ,6,Συρματόσχοινο επενδεδυμένο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,1730 κιλά,Μαύρη,-
6/19Π/5Μ,5,Συρματόσχοινο επενδεδυμένο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,830 κιλά,Μαύρη,-
6/19Π/5Κ,5,Συρματόσχοινο επενδεδυμένο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,830 κιλά,Κίτρινη,-
6/19Π/6K,6,Συρματόσχοινο επενδεδυμένο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,1730 κιλά,Κίτρινη,-
