ΓΑΝ/Φ/Α/10;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ  ΜΕ ΑΣΦΑΛΕΙΑ ;ΦΟΡΤ. ΑΣΦ. (kgs);10000;;;;
ΓΑΝ/Φ/Α/11;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ  ΜΕ ΑΣΦΑΛΕΙΑ ;ΦΟΡΤ. ΑΣΦ. (kgs);11000;;;;
ΓΑΝ/Φ/Α/2;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ  ΜΕ ΑΣΦΑΛΕΙΑ ;ΦΟΡΤ. ΑΣΦ. (kgs);2000;;;;
ΓΑΝ/Φ/Α/250;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ  ΜΕ ΑΣΦΑΛΕΙΑ ;ΦΟΡΤ. ΑΣΦ. (kgs);250;;;;
ΓΑΝ/Φ/Α/3;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ  ΜΕ ΑΣΦΑΛΕΙΑ ;ΦΟΡΤ. ΑΣΦ. (kgs);3000;;;;
ΓΑΝ/Φ/Α/5;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ  ΜΕ ΑΣΦΑΛΕΙΑ ;ΦΟΡΤ. ΑΣΦ. (kgs);5000;;;;
ΓΑΝ/Φ/Α/500;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ  ΜΕ ΑΣΦΑΛΕΙΑ ;ΦΟΡΤ. ΑΣΦ. (kgs);500;;;;
ΓΑΝ/Φ/Α/7.5;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ  ΜΕ ΑΣΦΑΛΕΙΑ ;ΦΟΡΤ. ΑΣΦ. (kgs);7500;;;;
ΓΑΝ/Φ/Α/750;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ  ΜΕ ΑΣΦΑΛΕΙΑ ;ΦΟΡΤ. ΑΣΦ. (kgs);750;;;;
ΓΑΝ/Φ/Α4/1.5;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΑΝΟΞΕΙΔΩΤΟΙ;ΦΟΡΤ. ΑΣΦ. (kgs);1500;;;;
ΓΑΝ/Φ/Α4/2;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΑΝΟΞΕΙΔΩΤΟΙ;ΦΟΡΤ. ΑΣΦ. (kgs);2000;;;;
ΓΑΝ/Φ/Α4/3;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΑΝΟΞΕΙΔΩΤΟΙ;ΦΟΡΤ. ΑΣΦ. (kgs);3000;;;;
ΓΑΝ/Φ/Σ/1;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΣΤΡΙΦΤΑΡΙ;ΦΟΡΤ. ΑΣΦ. (kgs);1000;;;;
ΓΑΝ/Φ/Σ/1.5;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΣΤΡΙΦΤΑΡΙ;ΦΟΡΤ. ΑΣΦ. (kgs);1500;;;;
ΓΑΝ/Φ/Σ/10;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΣΤΡΙΦΤΑΡΙ;ΦΟΡΤ. ΑΣΦ. (kgs);10000;;;;
ΓΑΝ/Φ/Σ/11;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΣΤΡΙΦΤΑΡΙ;ΦΟΡΤ. ΑΣΦ. (kgs);11000;;;;
