ΚΩΔΙΚΟΣ ,ΠΕΡΙΓΡΑΦΗ ,ΔΟΧΕΙΟ,ΧΡΩΜΑ,ΤΥΠΟΣ,ΔΙΑΛ/ΚΟ
ΑΤΤ001,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ  GIRAGLIA,750 ml,ΛΕΥΚΟ,ΑΥΤΟΚΑΘ/ΝΗ,110
ΑΤΤ007,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ  GIRAGLIA,2.5 liters,ΛΕΥΚΟ,ΑΥΤΟΚΑΘ/ΝΗ,110
ΑΤΤ005,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ  GIRAGLIA,750 ml,ΜΑΥΡΟ,ΑΥΤΟΚΑΘ/ΝΗ,110
ΑΤΤ011,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ  GIRAGLIA,2.5 iters,ΜΑΥΡΟ,ΑΥΤΟΚΑΘ/ΝΗ,110
ΑΤΤ003,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ  GIRAGLIA,750 ml,ΜΠΛΕ ΣΚΟΥΡΟ,ΑΥΤΟΚΑΘ/ΝΗ,110
ΑΤΤ009,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ  GIRAGLIA,2.5 liters,ΜΠΛΕ ΣΚΟΥΡΟ,ΑΥΤΟΚΑΘ/ΝΗ,110
ΑΤΤ600,ΥΦΑΛΟΧΡΩΜΑΤΑ ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΑ  GIRAGLIA,750 ml,ΠΡΑΣΙΝΟ,ΑΥΤΟΚΑΘ/ΝΗ,110
ΑΤΤ030Λ,ΥΦΑΛΟΧΡΩΜΑΤΑ ΠΡΟΠΕΛΑΣ,250 ml,ΛΕΥΚΟ,ΣΚΛΗΡΗ,110
ΑΤΤ030,ΥΦΑΛΟΧΡΩΜΑΤΑ ΠΡΟΠΕΛΑΣ,250 ml,ΜΑΥΡΟ,ΣΚΛΗΡΗ,110
ΑΤΤ030Α,ΥΦΑΛΟΧΡΩΜΑΤΑ ΠΡΟΠΕΛΑΣ,750 ml,ΛΕΥΚΟ,ΑΥΤΟΚΑΘ/ΝΗ,110
ΑΤΤ022,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL ,750 ml,ΚΟΚΚΙΝΟ,ΣΚΛΗΡΗ,110
ΑΤΤ306,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL ,10 liters,ΚΟΚΚΙΝΟ,ΣΚΛΗΡΗ,110
ΑΤΤ208,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL ,750 ml,ΛΕΥΚΟ,ΣΚΛΗΡΗ,110
ΑΤΤ309,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL ,10 liters,ΛΕΥΚΟ,ΣΚΛΗΡΗ,110
ΑΤΤ118,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL ,2.5 liters,ΛΕΥΚΟ,ΣΚΛΗΡΗ,110
ΑΤΤ023,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL ,750 ml,ΜΑΥΡΟ,ΣΚΛΗΡΗ,110
ΑΤΤ307,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL ,10 liters,ΜΑΥΡΟ,ΣΚΛΗΡΗ,110
ΑΤΤ026,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL ,2.5 liters,ΜΑΥΡΟ,ΣΚΛΗΡΗ,110
ΑΤΤ021,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL ,750 ml,ΜΠΛΕ,ΣΚΛΗΡΗ,110
ΑΤΤ305,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL ,10 liters,ΜΠΛΕ,ΣΚΛΗΡΗ,110
ΑΤΤ024,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ PROFESSIONAL ,2.5 litets,ΜΠΛΕ,ΣΚΛΗΡΗ,110
ΑΤΤ027,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ TROPICAL ,750 ml,ΚΟΚΚΙΝΟ,ΣΚΛΗΡΗ,110
ΑΤΤ028,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ TROPICAL ,2.5 liters,ΚΟΚΚΙΝΟ,ΣΚΛΗΡΗ,110
ATT996,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ TROPICAL ,750 ml,ΜΠΛΕ,ΣΚΛΗΡΗ,110
ATT555,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ TROPICAL ,2.5 liters,ΜΠΛΕ,ΣΚΛΗΡΗ,110
ATT997,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ TROPICAL ,750 ml,ΜΑΥΡΟ,ΣΚΛΗΡΗ,110
ATT998,ΥΦΑΛΟΧΡΩΜΑΤΑ ΣΚΛΗΡΑ TROPICAL ,2.5 liters,ΜΑΥΡΟ,ΣΚΛΗΡΗ,110
ΑΤΤ034,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΜΠΛΕ ΣΚ.,ΔΥΟ ΣΥΣΤ.,130
ΑΤΤ134,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΜΠΛΕ ΩΚ.,ΔΥΟ ΣΥΣΤ.,130
ΑΤΤ310,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΓΚΡΙ ΑΝΟΙΧΤΟ,ΔΥΟ ΣΥΣΤ.,130
ΑΤΤ119,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΓΚΡΙ ΣΚ.,ΔΥΟ ΣΥΣΤ.,130
ΑΤΤ033,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΘΑΛΑΣΣΙ,ΔΥΟ ΣΥΣΤ.,130
ΑΤΤ107,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΚΑΦΕ,ΔΥΟ ΣΥΣΤ.,130
ΑΤΤ300,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΚΙΤΡΙΝΟ,ΔΥΟ ΣΥΣΤ.,130
ΑΤΤ035,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΚΟΚΚΙΝΟ,ΔΥΟ ΣΥΣΤ.,130
ΑΤΤ032,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΛΕΥΚΟ,ΔΥΟ ΣΥΣΤ.,130
ΑΤΤ036,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΜΑΥΡΟ,ΔΥΟ ΣΥΣΤ.,130
