1408/ΓΑ/10,ΓΑΝΤΖΟΙ ΕΝΤΑΤΗΡΑ,ΔΙΑΜΕΤΡΟΣ mm,10,-0,-0
1408/ΓΑ/12,ΓΑΝΤΖΟΙ ΕΝΤΑΤΗΡΑ,ΔΙΑΜΕΤΡΟΣ mm,12,-0,-0
1408/ΓΑ/6,ΓΑΝΤΖΟΙ ΕΝΤΑΤΗΡΑ,ΔΙΑΜΕΤΡΟΣ mm,6,-0,-0
1408/ΓΑ/8,ΓΑΝΤΖΟΙ ΕΝΤΑΤΗΡΑ,ΔΙΑΜΕΤΡΟΣ mm,8,-0,-0
ΓΑΝ/1060805,ΓΑΝΤΖΟΙ ΤΗΛΕΣΚΟΠΙΚΟΙ,ΜΗΚΟΣ,60-120cm,ΧΡΩΜΑ,ΓΚΡΙ
ΓΑΝ/1060807,ΓΑΝΤΖΟΙ ΤΗΛΕΣΚΟΠΙΚΟΙ,ΜΗΚΟΣ,120-210cm,ΧΡΩΜΑ,ΓΚΡΙ
ΓΑΝ/1060811,ΓΑΝΤΖΟΙ ΤΗΛΕΣΚΟΠΙΚΟΙ,ΜΗΚΟΣ,120-210cm,ΧΡΩΜΑ,ΜΠΛΕ
ΓΑΝ/52906,ΓΑΝΤΖΑΚΙΑ ΛΑΣΤΙΧΟΥ ΙΝΟΧ,ΔΙΑΜΕΤΡΟΣ mm,6,-0,-0
ΓΑΝ/52908,ΓΑΝΤΖΑΚΙΑ ΛΑΣΤΙΧΟΥ ΙΝΟΧ,ΔΙΑΜΕΤΡΟΣ mm,8,-0,-0
ΓΑΝ/52910,ΓΑΝΤΖΑΚΙΑ ΛΑΣΤΙΧΟΥ ΙΝΟΧ,ΔΙΑΜΕΤΡΟΣ mm,10,-0,-0
ΓΑΝ/8377/Α4,ΓΑΝΤΖΟΙ ΠΑΡΑΘΥΡΟΥ ΑΝΟΞΕΙΔΩΤΟΙ,ΜΗΚΟΣ,80,-0,-0
